@relation 'EPA Eastern Lakes Survey - 1984-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F2'

@attribute aluminum numeric
@attribute calcium numeric
@attribute carbonate numeric
@attribute color numeric
@attribute elevation numeric
@attribute inlets {zero,one,few,many}
@attribute potassium numeric
@attribute area numeric
@attribute type {lake,pond,reservoir,swamp}
@attribute volume numeric
@attribute latitude numeric
@attribute longitude numeric
@attribute ammonium numeric
@attribute nitrate numeric
@attribute outlets {zero,few,one}
@attribute precipitation numeric
@attribute runoff {5,10,15,20,25,30}
@attribute sulfate numeric
@attribute ph {low,high}

@data
241,1.25,0,40,199.0344,zero,0.65,6.199997,pond,0.193,41.971375,-71.772217,0,0.01,one,0.961,20,6.32,low
41,0.63,0,20,538.9,zero,0.39,7.199997,lake,0.541,46.239441,-89.233276,0.03,0.042,zero,0.885,10,3.28,low
33.9,0.967,0,5,3.6576,zero,0.573,6,pond,0.337,41.638886,-70.37915,0.04,0.007,one,0.945,20,5.949,low
48.3,1.319,0,35,269.4,few,0.279,51.5,pond,0.502,42.733307,-72.104126,0.026,0.052,one,1.016,25,4.787,low
90.7,0.739,0,70,120.7008,zero,0.402,23.399994,pond,0.163,41.597198,-71.783325,0.049,0.081,one,0.958,20,3.82,low
27,0.87,0,15,252.1,zero,0.38,14.699997,lake,0.239,46.268036,-86.647461,0.03,0.032,zero,1.011,15,2.53,low
67.5,0.859,0,5,389.5,zero,0.108,7.5,pond,0.285,45.343048,-69.521362,0.034,0.092,one,0.992,25,4.218,low
196,1.65,0,100,516.6,zero,0.5,10.399994,lake,0.574,46.223602,-89.667725,0.03,0.141,zero,0.885,10,3.64,low
82,1.79,0,10,593.1,zero,0.18,8.099998,pond,0.173,41.938873,-74.587463,0.03,0.034,one,0.762,25,5.98,low
103.1,1.48,0,10,672.7,one,0.061,12.899994,lake,0.64,43.44165,-74.061096,0.033,0.089,one,0.887,20,6.432,low
95,0.75,0,55,491,zero,0.34,11.399994,lake,0.127,45.906921,-89.358276,0.01,0,zero,0.885,10,2.67,low
29,0.95,0,15,484.3,zero,0.46,20.699997,lake,0.644,45.791656,-89.644409,0,0.023,zero,0.885,10,4.04,low
135.4,1.186,0,5,359.7,zero,0.271,5.599998,pond,0.19,42.959717,-72.012451,0.019,0.026,one,1.036,25,5.663,low
226,1.39,0.001,115,364.2,zero,0.55,4.099998,lake,0.388,46.48053,-91.245789,0.08,0,zero,0.871,10,2.41,low
22,0.71,0,15,492.6,zero,0.55,7.199997,lake,0.144,46.031921,-89.826355,0.039,0.022,zero,0.885,10,2.73,low
242,1.46,0,235,442,one,0.22,8.899994,lake,0.087,48.020813,-92.041626,0.03,0.088,one,0.785,5,1.05,low
46,0.74,0,25,522.4,zero,0.41,37.299988,lake,1.575,46.171082,-89.313049,0,0,one,0.885,10,3.06,low
19,0.69,0,30,480.1,zero,0.67,4.799999,lake,0.096,45.715271,-89.384705,0.01,0,zero,0.885,10,1.74,low
23,1.01,0.001,25,501.4,zero,0.69,8.899994,lake,0.252,45.473053,-89.201904,0.128,0.268,zero,0.885,10,3.4,low
113,0.94,0,65,523,zero,0.53,24.699997,lake,1.158,46.188873,-89.25,0.07,0.209,zero,0.885,10,2.44,low
61,0.9,0,70,328,zero,0.35,31.099991,lake,0.188,46.198608,-91.738831,0.09,0.165,zero,0.867,10,1.12,low
44,1.15,0.001,40,486.2,zero,0.78,7.799999,lake,0.387,45.696655,-89.534668,0.05,0.007,zero,0.885,10,3.17,low
40.9,0.945,0,10,14.3256,zero,0.734,14.399994,pond,0.247,41.804138,-70.612488,0.015,0.012,zero,0.952,20,6.272,low
41,1.44,0.001,20,525.5,zero,0.51,40.099976,lake,2.493,46.215271,-89.241638,0.01,0.043,one,0.885,10,5.16,low
23,0.71,0,17,440.7,zero,0.46,7.099998,lake,0.132,46.154144,-91.033325,0.03,0.002,zero,0.882,10,2.59,low
16,0.96,0,10,36,zero,0.68,10,pond,0.237,41.921387,-70.706665,0,0.131,one,0.956,20,5.52,low
203.7,1.294,0,95,139.3,zero,0.006,21.399994,lake,0.089,45.549988,-67.720825,0.135,0.003,one,1.287,15,1.964,low
143,1.48,0,30,346,few,0.21,9,lake,0.075,41.188873,-75.16803,0,0.034,one,0.816,20,6.9,low
33,1.12,0.002,30,514.5,zero,0.86,4.099998,lake,0.127,45.424988,-89.533325,0.1,0.039,zero,0.885,10,3.4,low
94.5,1.777,0.001,10,545.6,one,0.342,77.799988,lake,2.094,43.966644,-74.866638,0.027,0.26,one,0.911,25,6.256,low
34.9,0.82,0.001,10,19.5072,zero,0.543,8.099998,pond,0.274,41.852203,-70.604675,0.014,0.001,zero,0.953,20,6.126,low
92.3,0.934,0.001,25,66.8,few,0.269,98.899963,pond,3.029,43.174988,-71.06665,0.026,0.036,one,0.962,15,3.951,low
79.1,0.884,0.001,10,53.6,few,0.194,10,pond,0.436,43.226929,-70.727722,0.026,0.019,one,0.958,15,3.816,low
38,0.87,0.001,25,509.3,zero,0.49,5.899998,lake,0.301,46.101379,-89.226379,0.13,0.028,zero,0.885,10,2.99,low
39,0.75,0.001,20,26.8224,zero,0.83,5,pond,0.09,41.899994,-70.641663,0.01,0.091,one,0.955,20,4.97,low
144,0.694,0.001,5,26.8,zero,0.181,11.599998,pond,0.312,29.553604,-82.036926,0.008,0.078,zero,1.2,5,3.31,low
23.9,0.765,0.001,10,8.8392,one,0.748,11.5,pond,0.16,41.705536,-70.111084,0.035,0.237,few,0.944,20,5.501,low
292,1.95,0.007,99,361.2,zero,0.52,4.199997,lake,0.136,46.493591,-91.241638,0.14,0.059,one,0.871,10,2.6,low
180.8,2.086,0.005,50,454.5,one,0.212,21,pond,0.263,44.524994,-74.599976,0.061,0.466,one,0.927,20,5.142,low
126.7,2.085,0.001,95,395.3,zero,0.153,4.299999,pond,0.054,41.349976,-74.905518,0.024,0.086,one,1.01,20,4.992,low
56,1.07,0.001,45,510.2,zero,0.55,18.699997,lake,0.954,46.197205,-89.608276,0.01,0,zero,0.885,10,3.14,low
12,0.76,0.002,21,344.4,zero,0.54,9.5,lake,0.256,46.539429,-91.464111,0,0,zero,0.862,10,2.3,low
103,0.96,0.001,74,297.2,zero,1.04,10.5,lake,0.083,45.894714,-92.208008,0.51,0.297,zero,0.838,5,3.22,low
158,1.36,0.001,98.5,413.6,zero,1.04,9.899994,lake,0.11,47.391663,-92.522217,0.025,0.1115,zero,0.798,5,2.48,low
14,2.44,0,15,480.1,zero,0.7,10.899994,lake,0.187,45.683319,-89.463867,0.03,0,zero,0.885,10,2.66,low
14,1.05,0.002,10,501.4,zero,0.34,13,lake,0.772,45.999146,-89.633301,0.01,0.031,zero,0.885,10,3.96,low
157,3.87,0.009,145,223.4,one,0.631,3.799999,lake,0.016,46.277222,-84.502197,0.06,0.348,one,1.145,15,1.11,low
15,2.63,0.141,79,373.4,zero,2.6,4.399998,lake,0.155,45.716919,-91.848328,0.04,0.038,zero,0.856,5,0.27,low
5,0.82,0.001,22,328,zero,0.51,54.299988,lake,0.454,45.246643,-91.466614,0.01,0,zero,0.855,5,3,low
9.2,1.075,0.014,30,8.2296,zero,0.802,4.199997,pond,0.019,41.609161,-70.58606,0.022,0.002,zero,0.946,20,4.373,low
796.8,2.935,0.003,175,295.7,zero,0.538,19.699997,pond,0.055,46.216644,-69.347168,0.037,0.015,one,1.022,20,1.842,low
180,1.81,0.008,68,399.3,one,0.32,17.099991,lake,0.968,48.238861,-92.195801,0.03,0.192,one,0.724,5,3.91,low
119,1.67,0.004,60,527.3,zero,0.33,26,lake,1.134,46.625549,-88.190247,0,0.023,one,0.903,15,4.03,low
36,1.44,0.008,25,406,zero,0.92,10.899994,lake,0.926,46.558594,-88.754944,0.01,0,zero,0.886,15,3.8,low
162,2.24,0.004,125,217.9,zero,0.3,4.799999,lake,0.022,45.907776,-86.449402,0.54,0.265,zero,0.838,15,4.07,low
45,0.94,0.013,40,424,one,1.02,7.099998,lake,0.359,46.587494,-88.784668,0.01,0.109,one,0.885,15,1.84,low
65,1.8,0.013,110,478.5,zero,0.4,9.699997,lake,0.248,46.445526,-87.995789,0.03,0.089,one,0.913,15,3.99,low
28,0.57,0.003,26,347.8,zero,0.72,6.699997,lake,0.078,46.508026,-91.652771,0,0,zero,0.856,10,2.44,low
294,1.69,0.001,105,330.7,zero,0.77,9.899994,lake,0.096,46.368591,-91.136108,0.04,0,zero,0.877,10,2.46,low
149,2.25,0.005,110,527.3,one,0.3,5.099998,lake,0.085,46.631653,-88.081909,0,0.025,zero,0.909,15,3.63,low
514,1.41,0.002,115,433.7,few,0.32,161.399902,lake,0.674,48.029144,-92.024963,0,0.141,one,0.785,5,2.36,low
41,0.995,0.002,10,612.7,zero,0.405,35.5,swamp,0.346,41.224701,-75.667175,0.011,0.033,one,0.699,20,4.872,low
269,1.74,0.004,108,438.9,zero,0.364,15.399994,lake,0.393,48,-91.87915,0.01,0.016,zero,0.789,5,2.72,low
27,0.7,0.001,15,504.5,zero,0.9,29.5,lake,0.958,45.966644,-89.199951,0.04,0,zero,0.885,10,2.74,low
138.5,2.088,0.004,35,294.4,one,0.391,15.699997,pond,0.131,43.92749,-75.328308,0.027,0.545,one,0.898,30,5.595,low
279.1,2.813,0.001,55,580.3,few,0.406,66.599976,lake,7.355,43.766663,-74.624939,0.035,0.444,one,0.908,30,7.066,low
235.5,2.085,0.004,30,133.8072,few,1.035,44.199982,reservoir,0.431,41.969421,-71.729126,0,0,one,0.961,20,6.785,low
176,1.52,0.005,100,445.6,one,0.31,23.599991,lake,0.471,47.955536,-92.074951,0.01,0.064,one,0.789,5,2.52,low
34,2.22,0.003,30,628.2,zero,0.21,37.199982,pond,0.898,41.426361,-76.287476,0.02,0.083,one,0.698,15,4.92,low
14,1.14,0.008,16,420.9,zero,0.75,5.699997,lake,0.201,45.753326,-91.556091,0.01,0,zero,0.869,5,3.63,low
16,0.98,0.001,30,330.7,zero,0.36,19.799988,lake,0.22,46.218323,-91.680542,0.01,0.028,zero,0.868,10,2.69,low
315,1.4,0.002,160,442,one,0.35,42.799988,lake,0.357,48.01944,-92.133301,0,0.137,one,0.782,5,3.09,low
85,2.09,0.014,75,498.4,zero,0.34,7.899998,lake,0.312,46.188873,-89.820801,0.179,0.108,zero,0.885,10,4.39,low
37.7,1.327,0.013,10,36.9,zero,0.27,6.599998,pond,0.196,43.922211,-69.494385,0.011,0.009,one,0.925,20,4.007,low
188,1.81,0.013,110,334.4,one,0.52,18.399994,lake,0.623,46.512482,-91.269409,0.05,0.019,one,0.869,10,2.18,low
91,1.79,0.012,130,333.8,zero,0.44,12.799995,lake,0.143,46.199982,-91.649963,0.42,0.11,zero,0.87,10,1.22,low
20,2.5,0.001,15,436.5,one,0.37,37.599976,reservoir,1.57,41.262482,-75.75,0,0.012,one,0.697,20,8.9,low
26.9,2.009,0.036,45,87.8,one,0.543,32,pond,0.327,43.791656,-70.574951,0.06,0.049,one,0.959,20,2.122,low
33.1,2.311,0.009,20,454.2,one,0.359,6.199997,lake,0.129,44.695831,-74.324951,0.016,0.08,one,0.917,20,5.542,low
93,0.73,0.007,15,293.2,zero,0.43,13.199997,lake,0.11,47.17749,-88.590271,0,0.093,zero,0.833,15,2.1,low
136,1.14,0.002,64,427.3,zero,0.27,22.399994,lake,0.125,48.054138,-92.149963,0.14,0.152,zero,0.774,5,2.95,low
92.9,2.042,0.006,15,356.6,zero,0.434,5.5,pond,0.186,44.630554,-71.352722,0.021,0.024,one,1.324,25,5.61,low
29,1.96,0.048,60,385.6,zero,0.78,5.299999,lake,0.172,45.781097,-91.762451,0.1,0.036,zero,0.862,5,1.27,low
98.3,1.418,0.012,90,62.5,one,0.741,17,pond,0.213,44.387482,-69.197205,0.024,0.02,zero,0.818,20,2.308,low
119,1.82,0.01,85,521.5,one,0.43,106.699951,lake,3.763,46.603027,-88.155823,0,0.237,one,0.905,15,3.43,low
20,1.19,0.009,27,315.5,zero,0.09,8.299995,lake,0.208,46.220276,-91.848328,0.01,0,zero,0.861,10,1.82,low
23.5,1.14,0.007,35,480.1,zero,0.75,7.099998,lake,0.191,45.802765,-89.733276,0.05,0.0665,zero,0.885,10,2.02,low
51.85,1.9795,0.007,20,409.7,few,0.2605,63.799988,reservoir,3.612,43.787476,-72.041626,0.021,0.033,one,1.13,20,5.1065,low
13,1.26,0.022,20,315.5,zero,0.42,8,lake,0.861,46.21109,-91.860535,0.09,0.013,zero,0.861,10,2.21,low
114.1,2.192,0.024,55,143.3,few,0.433,11.399994,pond,0.048,44.181366,-70.826355,0.037,0,zero,0.961,25,3.223,low
25,1.26,0.007,25,489.2,zero,0.51,6,lake,0.212,45.70636,-89.553284,0.19,0.048,zero,0.885,10,2.9,low
87,1.96,0.007,40,525.8,zero,0.58,31.599991,lake,1.965,46.224976,-89.173584,0.02,0.061,zero,0.885,10,4.13,low
137.7,3.641,0.003,20,579.4,one,0.466,28.199997,lake,0.393,41.283325,-75.486084,0.035,0.088,zero,0.71,20,5.933,low
80.2,2.063,0.022,40,152.4,many,0.136,6.5,pond,0.127,44.145813,-70.799988,0.02,0,one,0.961,20,2.423,low
74.6,1.32,0.006,5,317,zero,0.219,9.899994,pond,0.698,44.429138,-70.516663,0.008,0.016,one,0.962,20,4.173,low
59,1.36,0.01,47,355.1,zero,0.43,23.199997,lake,0.947,46.318054,-91.579163,0.02,0.046,zero,0.869,10,2.35,low
30.5,1.012,0.008,10,38.4,one,0.28,35.599976,pond,0.396,44.108032,-69.422729,0.013,0.009,zero,0.829,20,3.431,low
22.1,1.581,0.014,10,205.1,one,0.354,11.899994,pond,0.337,42.655548,-72.347168,0.021,0.015,one,1.018,20,5.025,low
52,0.96,0.008,60,341.7,zero,0.59,30.099991,lake,0.209,46.165253,-92.972168,0.05,0.033,zero,0.782,5,0.88,low
41.7,1.115,0.027,20,10.3632,zero,0.929,30.799988,pond,0.214,41.674988,-70.324951,0.535,0.878,one,0.945,20,7.166,low
62,1.48,0.119,150,122.5,one,0.92,9.899994,pond,0.28,33.236084,-82.829163,0.421,0.195,one,1.076,10,0.67,low
192,2.061,0.006,112.5,375.2,one,0.3445,10.699997,lake,0.045,41.255554,-74.954163,0.0245,0.055,one,0.978,20,5.197,low
41,1.18,0.014,35,344.4,zero,0.81,11,lake,0.153,46.526093,-91.423279,0.033,0.061,zero,0.864,10,1.56,low
106.1,2.731,0.015,40,293.8,one,1.182,14.299995,pond,0.06,42.820831,-72.011108,0.038,0.013,one,1.018,25,7.124,low
36.9,1.398,0.009,15,405.4,zero,0.501,38.799988,lake,1.098,43.224976,-72.762451,0.004,0,zero,0.885,25,4.631,low
38.5,1.185,0.009,25.5,365.8,zero,0.575,34.699982,lake,0.773,46.341644,-91.591614,0.005,0.074,zero,0.867,10,3.31,low
52.9,2.269,0.006,20,392,zero,0.404,25.699997,lake,1.598,43.461914,-72.055542,0.02,0.012,one,1.12,20,6.462,low
47.9,2.242,0.007,20,550.5,one,0.469,11.399994,pond,0.18,43.955536,-74.599976,0.013,0.048,one,0.913,25,6.528,low
16,1.01,0.002,20,508.7,zero,0.3,16.199997,lake,0.301,46.015259,-89.39801,0.01,0.23,zero,0.885,10,3.76,low
223,5.338,0.018,225,431,zero,0.223,6,pond,0.033,41.634705,-75.370789,0.035,0,one,0.703,20,7.007,low
151,1.33,0.004,55,445,zero,0.247,5.899998,lake,0.066,48.031921,-91.935242,0.12,0.137,one,0.787,5,2.63,low
92.9,0.537,0.006,15,676.4,one,0.14,8.5,lake,0.288,45.535248,-69.232727,0.019,0.691,one,0.995,25,1.623,low
280,0.85,0.01,40,886.7,many,0.59,35.199982,lake,1.993,35.416656,-82.927734,0.016,0.715,one,1.439,30,2.03,low
122.9,2.158,0.043,40,451.1,one,0.676,5.699997,lake,0.032,42.880554,-72.719421,0.214,0.121,one,0.947,25,2.411,low
78,1.98,0.021,64,391.7,one,1.59,23.399994,lake,2.486,45.583313,-92.041626,0.03,0.235,zero,0.837,5,2.82,low
23.6,3.065,0.076,50,156.7,zero,0.51,9.899994,pond,0.096,43.595825,-70.908325,0.103,0.047,one,0.961,20,2.515,low
52.8,2.909,0.029,25,131.9784,one,1.186,9,pond,0.125,41.909698,-71.649963,0.045,0.041,one,0.961,20,5.971,low
27.6,14.25,1.154,60,188.1,few,0.066,18.799988,pond,0.079,44.287476,-73.555542,0.026,0.017,one,0.948,15,4.404,low
137.3,4.241,0.066,125,88.4,one,0.381,5,pond,0.139,45.027771,-68.394409,0.037,0.021,one,0.842,20,2.171,low
36.4,1.852,0.012,20,157.6,many,0.679,256.199951,lake,5.468,43.209137,-71.25,0.033,0.03,one,0.986,15,5.577,low
38,1.6,0.02,34,543.5,one,0.158,14.599998,lake,0.725,47.954163,-90.954163,0.05,0.1,one,0.791,10,1.82,low
86,1.75,0.012,52,389.5,one,0.36,12.099998,lake,0.168,48.276367,-92.179138,0,0.071,one,0.719,5,3.53,low
24.7,1.802,0.029,15,170.4,few,0.319,103.399963,lake,2.735,43.615265,-71.595825,0.02,0.005,one,1.13,20,4.896,low
21,1.28,0.021,25,373.4,zero,0.71,11.799995,lake,0.285,45.611084,-91.832214,0.13,0.098,zero,0.852,5,2.36,low
172.4,3.023,0.019,50,579.1,one,0.478,14.899994,pond,0.124,41.179718,-75.410828,0.055,0.687,one,0.72,20,5.878,low
63.3,2.697,0.023,35,531.3,many,0.476,514,lake,4.293,43.899994,-74.583313,0.034,0.246,one,0.913,25,6.44,low
15.5,1.21,0.01,12.5,488,zero,0.43,26.799988,lake,0.46,46.020813,-90.149963,0.01,0,zero,0.885,10,2.665,low
35,1.368,0.009,5,8.2296,zero,0.573,4.199997,pond,0.107,41.701935,-70.13385,0.022,0.016,zero,0.944,20,5.585,low
5,1.06,0.003,30,399,zero,0.54,6.899998,lake,0.128,45.267487,-88.666077,0.128,0.016,zero,0.884,10,1.87,low
40,5.78,0.086,35,337.7,one,0.41,13.599998,pond,0.442,41.658325,-75.708313,0.46,0.089,one,0.697,10,8.42,low
157,1.505,0.008,73,433.1,one,0.295,56,lake,0.702,48.087494,-91.888855,0.01,0.04,one,0.782,5,2.62,low
96,1.65,0.013,71,411.2,few,0.36,21.899994,lake,0.244,48.137482,-92.037476,0.01,0.015,one,0.758,5,2.44,low
56,2.805,0.03,130,498.4,zero,0.26,14.199997,lake,0.283,45.76944,-89.058289,0.12,0.0435,one,0.884,10,2.375,low
5,1.46,0.013,27,324.9,zero,0.49,18.199997,lake,0.954,46.491638,-91.295776,0.043,0.086,zero,0.869,10,2.22,low
48,0.68,0.048,25,490.4,one,0.67,11.5,lake,0.16,34.529999,-84.279114,0.004,0.007,one,1.501,25,1,low
19,1.1,0.098,80,446.2,few,0.9,10.399994,lake,0.367,34.452209,-84.288025,0.014,0.011,one,1.468,25,1.12,low
26.7,2.119,0.036,20,111.3,one,0.329,13.299995,pond,0.241,43.96109,-70.814392,0.036,0.004,one,0.961,20,3.256,low
44,1.265,0.007,7.5,502.3,zero,0.3,27,lake,0.576,46.027771,-89.573608,0.03,0.0275,zero,0.885,10,3.015,low
29,2.03,0.01,10,272.2,zero,0.405,5.799999,lake,0.116,46.349152,-84.866333,0,0,zero,1.184,15,5.97,low
23.6,1.83,0.015,15,246.3,few,0.262,87.299988,lake,4.456,43.470825,-71.299988,0.02,0.015,one,1.062,20,3.897,low
42,2.03,0.053,68,394.7,zero,1.29,4.099998,lake,0.076,45.682495,-92.013611,0.18,0.175,zero,0.844,5,1.49,low
20,2.33,0.004,5,22.5552,one,0.69,18.199997,pond,0.203,42.062469,-70.852722,0,0,one,0.959,20,8.32,low
12,1.28,0.037,23,335.9,zero,0.21,12.099998,lake,0.528,46.53833,-91.305542,0.03,0,zero,0.867,10,0.81,low
49.7,1.595,0.017,5,97.8,zero,0.335,39.599976,pond,2.04,44.763031,-68.555786,0.012,0.034,one,0.844,20,4.45,low
34,1.39,0.018,29,573.3,one,0.154,8.299995,lake,0.189,47.947205,-90.912476,0.06,0.344,one,0.791,10,2.02,low
40,1,0.06,25,1064.4,many,0.46,574,reservoir,59.393,35.174988,-83.149963,0.063,0.081,one,1.27,30,1.11,low
112.9,1.338,0.02,52.5,3,zero,0.868,18.599991,pond,0.233,43.870819,-69.781067,0.017,0.0115,one,0.834,20,4.836,low
32.2,3.495,0.029,15,324.6,one,1.067,7,reservoir,0.058,41.172211,-75.988831,0.019,0.006,zero,0.698,20,9.637,low
45.35,1.4685,0.013,17.5,401.1,one,0.2155,11.099998,pond,0.221,44.90387,-70.408325,0.014,0.013,one,0.991,25,3.5675,low
16,1.13,0.011,10,496.8,zero,0.6,6.599998,lake,0.205,45.908325,-89.215271,0.04,0.005,zero,0.885,10,3.11,low
45.6,3.696,0.041,20,462.7,zero,0.409,8.699997,pond,0.109,41.227753,-75.255554,0.034,0.019,one,0.77,20,7.741,low
118.4,2.444,0.028,35,664.8,one,0.476,38.5,pond,0.322,44.049988,-71.891663,0.022,0.01,one,1.138,25,4.377,low
110.8,9.82,0.219,150,62.1792,one,3.413,6.399998,pond,0.027,42.06665,-71.295776,0.276,0.028,one,0.961,20,8.769,low
10,1.42,0.012,15,335,zero,0.3,10.5,lake,0.341,46.222748,-91.665222,0.03,0,zero,0.869,10,2.71,low
16,1.03,0.091,20,513,many,0.53,260.699951,lake,33.144,34.770264,-83.428833,0.072,0.043,few,1.564,25,0.72,low
38.5,2.526,0.037,30,174.7,zero,0.644,34.099976,lake,0.965,43.704163,-71.108276,0.02,0.017,zero,0.984,25,2.539,low
17,1.43,0.026,20,7.6,one,0.64,5.699997,pond,0.026,41.91803,-70.611084,0.02,0.365,one,0.955,20,4.52,low
116,2.929,0.094,55,485.6,few,0.393,8.399994,pond,0.156,43.547211,-74.061096,0.101,0.132,one,0.898,20,4.373,low
85,4.015,0.017,105,31.1,few,4.721,64.199951,lake,0.536,28.482498,-81.789429,0.017,0.09,one,1.243,5,6.08,low
118,1.44,0.017,44,588.3,zero,0.173,5.599998,lake,0.031,47.912476,-90.924988,0.05,0.255,zero,0.791,10,2.75,low
96,1.83,0.032,44,373.4,one,0.47,54.099976,lake,2.761,48.294434,-92.25,0,0,zero,0.719,5,3.28,low
29.4,1.192,0.02,10,52.4,zero,0.354,44.799988,lake,0.57,44.849976,-67.558289,0.022,0.003,one,1.419,25,2.942,low
29.1,1.341,0.015,10,299.6,one,0.27,50.799988,pond,1.131,43.648315,-71.204163,0.015,0.011,one,1.029,25,3.813,low
54,2.08,0.056,71,381.3,zero,1.71,4.099998,lake,0.11,45.559143,-92.082214,0.22,0.063,zero,0.832,5,1.07,low
57.1,3.293,0.077,45,309.7,one,0.948,41.199982,pond,1.223,44.349976,-71.641663,0.02,0.033,one,1.208,25,4.989,low
150,1.88,0.032,65,51.2,one,0.299,36.399994,lake,0.878,44.905548,-67.624939,0.022,0.024,one,1.357,25,2.036,low
5,1.24,0.016,10,499.3,zero,0.51,62.299988,lake,2.631,46.199982,-89.776367,0.069,0.071,zero,0.885,10,2.47,low
50,2.44,0.064,58,380.1,one,0.46,82.699951,lake,4.451,48.224976,-92.214966,0.08,0.276,one,0.726,5,3.16,low
