@relation 'EPA Eastern Lakes Survey - 1984-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F2'

@attribute aluminum numeric
@attribute calcium numeric
@attribute carbonate numeric
@attribute color numeric
@attribute elevation numeric
@attribute inlets {zero,one,few,many}
@attribute potassium numeric
@attribute area numeric
@attribute type {lake,pond,reservoir,swamp}
@attribute volume numeric
@attribute latitude numeric
@attribute longitude numeric
@attribute ammonium numeric
@attribute nitrate numeric
@attribute outlets {zero,few,one}
@attribute precipitation numeric
@attribute runoff {5,10,15,20,25,30}
@attribute sulfate numeric
@attribute ph {low,high}

@data
110,0.437,0,200,36.3,zero,0.028,4.799999,lake,0.02,30.709152,-82.171631,0.311,0.05,zero,1.192,10,0.615,low
128,0.358,0,175,37.5,one,0.073,6.299999,lake,0.029,30.986664,-82.193054,0.013,0.012,one,1.164,5,0.183,low
116,0.435,0,150,37.5,one,0.145,14.199997,lake,0.059,30.980545,-82.195801,0.134,0.049,one,1.165,5,0.373,low
133.2,0.502,0,5,57.9,zero,0.423,5.299999,pond,0.18,42.831085,-71.444397,0.044,0.583,zero,0.974,15,4.392,low
753.5,0.584,0,35,791,one,0.166,4.5,lake,0.134,43.62915,-74.654114,0.029,0.058,one,0.9,30,6.863,low
88.3,0.905,0,5,9.4488,one,0.573,12.299995,pond,0.068,41.725555,-70.035217,0.054,0.208,one,0.944,20,6.157,low
443,1.38,0,345,337.4,one,0.59,7.599998,lake,0.13,46.795807,-91.094421,0.06,0.177,zero,0.869,15,1.4,low
190.3,1.157,0,10,9.144,zero,0.687,6.099998,pond,0.147,41.716644,-70.188843,0.081,0.472,one,0.946,20,9.329,low
638.3,0.507,0,25,812,few,0.065,7.399998,lake,0.052,43.620819,-74.620789,0.045,0.123,one,0.9,30,6.624,low
354.6,0.974,0,10,603.5,few,0.27,20.699997,pond,0.211,43.989441,-75.018311,0.089,0.591,one,0.909,30,6.275,low
51,1.0925,0,5,2.4,zero,0.8355,14,pond,0.591,41.944427,-70.005554,0.034,0.071,zero,0.95,20,7.3195,low
43,0.7,0,10,501.7,zero,0.4,14.299995,lake,0.199,45.962494,-89.35968,0,0.05,zero,0.885,10,4.39,low
330,1.52,0,0,690.7,zero,0.42,31.699997,lake,0.353,41.358307,-76.320801,0.1,1.116,one,0.7,15,7.78,low
120.4,1.12,0,125,523,zero,0.35,7.799999,lake,0.286,46.197754,-89.25,0.04,0.031,zero,0.885,10,1.99,low
75.3,0.661,0,10,14.0208,zero,0.678,11.899994,pond,0.221,41.796387,-70.603577,0.157,0.288,zero,0.952,20,5.577,low
42,0.52,0,15,289,one,0.588,6.599998,lake,0.579,46.530548,-85.904419,0.05,0.02,one,1.196,15,2.79,low
23,0.64,0,25,275.8,zero,0.34,4.5,lake,0.038,46.397217,-84.966614,0.22,0.065,zero,1.202,15,2.97,low
10,0.35,0,10,538,zero,0.42,5,lake,0.176,46.040527,-88.989136,0.02,0,one,0.885,10,3.26,low
34,0.239,0,5,28,zero,0.091,7.799999,pond,0.355,30.521378,-85.704163,0.005,0.017,zero,1.357,20,1.75,low
76.4,0.781,0,10,48.1584,zero,0.185,10.399994,pond,0.145,41.500824,-71.756348,0.014,0.004,one,0.957,20,5.426,low
36,4.45,0,35,288,zero,0.48,8.5,lake,0.118,46.564148,-86.109985,0.049,0.213,zero,1.178,15,2.51,low
134,1.72,0,20,328.9,few,0.48,89.199951,lake,1.656,42.617218,-71.962463,0,0.013,one,1.002,25,6.54,low
16,0.67,0,25,257.6,zero,0.38,5,lake,0.283,46.45166,-86.183838,0.019,0.006,zero,1.147,15,2.22,low
34,0.76,0,25,275.5,zero,0.469,19.699997,lake,0.64,46.529999,-86.093567,0.06,0.04,zero,1.175,15,3.97,low
104,0.97,0,115,501.4,zero,0.64,8.799995,lake,0.274,45.319977,-89.090271,0.112,0.067,zero,0.886,10,2.09,low
49,0.62,0,10,514.8,zero,0.3,6.099998,lake,0.085,46.146088,-89.25,0.04,0.139,zero,0.885,10,2.78,low
18,0.79,0,15,515.7,zero,0.38,7.5,lake,0.171,45.89444,-88.987488,0.03,0.115,zero,0.884,10,3.68,low
339.6,1.404,0,55,521.2,one,0.277,6.699997,lake,0.218,43.219421,-74.591614,0.054,0.04,one,0.861,20,5.407,low
10,0.505,0,17.5,259.4,zero,0.388,4.699997,lake,0.192,46.42749,-85.775269,0.16,0.004,zero,1.186,15,1.965,low
97,1.44,0,20,614.2,zero,0.41,9.299995,lake,0.367,41.437469,-76.243835,0.03,0.023,one,0.698,15,5.52,low
